id,postcode,latitude,longitude
76,AB21 9AE,57.178514,-2.171688
77,AB21 9AG,57.177808,-2.168327
78,AB21 9AH,57.17933,-2.172452
79,AB21 9AJ,57.178845,-2.172797
80,AB21 9AL,57.179535,-2.173777
81,AB21 9AN,57.178294,-2.174995
82,AB21 9AP,57.177273,-2.174615
83,AB21 9AR,57.178557,-2.173127
84,AB21 9AS,57.176425,-2.174936
85,AB21 9AT,57.177858,-2.177887
86,AB21 9AU,57.178277,-2.180072
87,AB21 9AX,57.179997,-2.183654
88,AB21 9AY,57.179036,-2.18355
89,AB21 9BB,57.179791,-2.185362
90,AB21 9BD,57.179276,-2.185403
91,AB21 9BE,57.178415,-2.184374
92,AB21 9BG,57.175427,-2.157737
93,AB21 9BH,57.176663,-2.178659
94,AB21 9BJ,57.176297,-2.177036
95,AB21 9BL,57.175331,-2.17986
96,AB21 9BN,57.175917,-2.178374
97,AB21 9BP,57.17633,-2.179104
98,AB21 9BQ,57.176003,-2.181434
99,AB21 9BR,57.17541,-2.181597
100,AB21 9BS,57.174854,-2.180701
101,AB21 9BT,57.174592,-2.181923
102,AB21 9BU,57.173719,-2.183027
103,AB21 9BX,57.174924,-2.181925
104,AB21 9BY,57.174939,-2.183992
105,AB21 9DA,57.173838,-2.181556
106,AB21 9DB,57.173577,-2.182051
107,AB21 9DD,57.174643,-2.183511
108,AB21 9DE,57.174183,-2.185262
109,AB21 9DF,57.174405,-2.186752
110,AB21 9DG,57.176556,-2.182264
111,AB21 9DH,57.174672,-2.188142
112,AB21 9DJ,57.175188,-2.185466
113,AB21 9DL,57.175397,-2.183862
114,AB21 9DN,57.175785,-2.18317
115,AB21 9DP,57.176363,-2.180708
116,AB21 9DQ,57.177078,-2.179146
117,AB21 9DR,57.177068,-2.177569
119,AB21 9DT,57.17751,-2.169814
120,AB21 9DU,57.178677,-2.17071
121,AB21 9DX,57.181097,-2.174826
122,AB21 9DY,57.182197,-2.177858
123,AB21 9EA,57.182208,-2.176882
124,AB21 9EB,57.183094,-2.179087
125,AB21 9ED,57.183524,-2.179767
126,AB21 9EE,57.18391,-2.18005
127,AB21 9EF,57.182469,-2.176156
128,AB21 9EG,57.181527,-2.177662
129,AB21 9EH,57.18357,-2.178676
130,AB21 9EJ,57.183096,-2.17783
131,AB21 9EL,57.183477,-2.181438
132,AB21 9EN,57.184346,-2.182848
133,AB21 9EP,57.184576,-2.184983
134,AB21 9EQ,57.184075,-2.184137
135,AB21 9ER,57.18243,-2.184526
137,AB21 9ET,57.181302,-2.181626
138,AB21 9EU,57.181724,-2.182091
139,AB21 9EW,57.183608,-2.183539
140,AB21 9EX,57.180724,-2.184071
141,AB21 9EY,57.18096,-2.184739
142,AB21 9HA,57.181339,-2.187415
143,AB21 9HB,57.179981,-2.182033
144,AB21 9HE,57.179756,-2.16994
145,AB21 9HH,57.179485,-2.170369
146,AB21 9HJ,57.186657,-2.181354
147,AB21 9HN,57.187988,-2.180318
148,AB21 9HQ,57.183893,-2.181263
149,AB21 9HR,57.184196,-2.180763
150,AB21 9HS,57.186709,-2.182347
151,AB21 9HT,57.185636,-2.181437
152,AB21 9HU,57.18857,-2.181215
153,AB21 9HW,57.188204,-2.179757
154,AB21 9HX,57.187969,-2.176535
155,AB21 9HY,57.189632,-2.179846
156,AB21 9HZ,57.187008,-2.180462
157,AB21 9JB,57.189964,-2.180576
158,AB21 9JD,57.190324,-2.179568
159,AB21 9JE,57.190671,-2.182168
160,AB21 9JH,57.190894,-2.183195
161,AB21 9JJ,57.191223,-2.186158
162,AB21 9JL,57.190925,-2.186339
163,AB21 9JP,57.190004,-2.183986
164,AB21 9JQ,57.189961,-2.182479
165,AB21 9JR,57.18969,-2.184744
166,AB21 9JS,57.191859,-2.180817
167,AB21 9JT,57.190966,-2.177007
168,AB21 9JU,57.192085,-2.179627
169,AB21 9JX,57.193843,-2.181323
170,AB21 9JY,57.191355,-2.180963
171,AB21 9LA,57.190936,-2.175044
172,AB21 9LB,57.177485,-2.168871
173,AB21 9LD,57.177027,-2.168604
174,AB21 9LE,57.177553,-2.171501
175,AB21 9LF,57.173171,-2.156117
176,AB21 9LG,57.175216,-2.168221
177,AB21 9LJ,57.17679,-2.171101
178,AB21 9LL,57.177224,-2.171323
179,AB21 9LN,57.177892,-2.17324
180,AB21 9LP,57.176484,-2.167483
181,AB21 9LQ,57.177093,-2.166289
182,AB21 9LR,57.176834,-2.164948
183,AB21 9LS,57.176449,-2.164053
184,AB21 9LT,57.175298,-2.164974
185,AB21 9LU,57.176151,-2.164863
186,AB21 9LW,57.175003,-2.164064
187,AB21 9LX,57.175321,-2.163194
188,AB21 9LZ,57.179198,-2.177215
189,AB21 9NA,57.175561,-2.162644
190,AB21 9NB,57.173914,-2.16079
191,AB21 9ND,57.173675,-2.155987
192,AB21 9NL,57.173624,-2.153308
193,AB21 9NN,57.173447,-2.150909
194,AB21 9NP,57.1769,-2.157925
195,AB21 9NQ,57.176994,-2.161498
196,AB21 9NS,57.175672,-2.153085
197,AB21 9NT,57.178558,-2.161224
198,AB21 9NU,57.179164,-2.169259
199,AB21 9NX,57.178124,-2.163074
200,AB21 9NY,57.176122,-2.15995
201,AB21 9PA,57.179329,-2.166878
202,AB21 9PB,57.178818,-2.16842
203,AB21 9PD,57.175044,-2.173491
204,AB21 0TG,57.19168,-2.287612
205,AB21 0TH,57.193979,-2.279968
206,AB21 0TJ,57.201911,-2.278665
207,AB21 0TL,57.197769,-2.278898
208,AB21 0TN,57.187418,-2.27614
209,AB21 0TP,57.186151,-2.281994
210,AB21 0TQ,57.182373,-2.294582
211,AB21 0TR,57.178136,-2.300716
212,AB21 0TS,57.184646,-2.303306
213,AB21 0TT,57.1909,-2.257899
214,AB21 0TU,57.196678,-2.242318
215,AB21 0TW,57.207544,-2.286355
216,AB21 0TX,57.197888,-2.265809
217,AB21 0TY,57.199614,-2.264795
218,AB21 0TZ,57.189496,-2.274981
219,AB21 0UA,57.263775,-2.187685
220,AB21 0UB,57.215489,-2.195006
221,AB21 0UD,57.273084,-2.18561
222,AB21 0UE,57.263271,-2.155969
223,AB21 0UF,57.267095,-2.173149
224,AB21 0UG,57.243841,-2.184159
226,AB21 0UL,57.271847,-2.170829
227,AB21 0UN,57.284776,-2.15513
228,AB21 0UP,57.28411,-2.169974
229,AB21 0UQ,57.266239,-2.179458
230,AB21 0UR,57.261788,-2.182536
231,AB21 0US,57.250403,-2.17885
232,AB21 0UT,57.23788,-2.179684
233,AB21 0UU,57.26319,-2.188163
234,AB21 0UW,57.263071,-2.18352
235,AB21 0UX,57.310189,-2.258685
236,AB21 0UY,57.264118,-2.186576
237,AB21 0UZ,57.263228,-2.187185
238,AB21 0WA,57.20619,-2.289158
239,AB21 0WB,57.265027,-2.187099
240,AB21 0WF,57.264052,-2.182315
241,AB21 0WG,57.265639,-2.184694
242,AB21 0WH,57.202854,-2.286732
243,AB21 0WJ,57.267045,-2.193306
244,AB21 0WL,57.266057,-2.193052
245,AB21 0WN,57.26637,-2.194048
246,AB21 0WP,57.266651,-2.192624
247,AB21 0WQ,57.267774,-2.192497
249,AB21 0WW,57.266947,-2.18664
251,AB21 0WZ,57.270401,-2.191686
252,AB21 0XA,57.203444,-2.284138
253,AB21 0XB,57.20408,-2.284872
254,AB21 0XD,57.203399,-2.287862
255,AB21 0XF,57.262621,-2.184513
256,AB21 0XG,57.263492,-2.184799
257,AB21 0XN,57.202366,-2.2836
258,AB21 0XP,57.201676,-2.283545
259,AB21 0XQ,57.207497,-2.287414
260,AB21 0XR,57.208037,-2.287004
261,AB21 0XS,57.207597,-2.286686
262,AB21 0XT,57.207136,-2.28809
263,AB21 0XU,57.206909,-2.28885
264,AB21 0XW,57.205923,-2.288196
265,AB21 0XX,57.205224,-2.287446
266,AB21 0XY,57.237483,-2.2624
267,AB21 0XZ,57.263288,-2.182676
268,AB21 0YA,57.23767,-2.26747
269,AB21 0YB,57.236878,-2.265265
270,AB21 0YD,57.240101,-2.277313
271,AB21 0YE,57.235829,-2.266828
272,AB21 0YF,57.237262,-2.264751
273,AB21 0YG,57.237682,-2.265814
274,AB21 0YL,57.238205,-2.285599
275,AB21 0YN,57.202324,-2.286612
276,AB21 0YP,57.202391,-2.285057
277,AB21 0YQ,57.248493,-2.263539
278,AB21 0YR,57.254368,-2.267028
279,AB21 0YS,57.258032,-2.282026
280,AB21 0YT,57.265848,-2.273647
281,AB21 0YX,57.274657,-2.277672
283,AB21 0ZR,57.205108,-2.294794
284,AB21 0ZS,57.204815,-2.293152
285,AB21 0ZT,57.204237,-2.292078
287,AB21 7AA,57.209439,-2.188606
288,AB21 7AB,57.211521,-2.187701
289,AB21 7AD,57.20968,-2.187609
290,AB21 7AE,57.211316,-2.186806
291,AB21 7AF,57.212604,-2.190223
292,AB21 7AG,57.212004,-2.189475
293,AB21 7AH,57.2153,-2.185424
294,AB21 7AJ,57.219702,-2.183537
295,AB21 7AL,57.220166,-2.17319
296,AB21 7AN,57.208452,-2.166381
297,AB21 7AP,57.206832,-2.154935
298,AB21 7AQ,57.215782,-2.144724
299,AB21 7AR,57.20736,-2.133534
300,AB21 7AS,57.231223,-2.139921
301,AB21 7AT,57.223981,-2.15652
302,AB21 7AU,57.205034,-2.188959
303,AB21 7AX,57.205005,-2.189803
304,AB21 7AY,57.205139,-2.190747
305,AB21 7AZ,57.199856,-2.185474
306,AB21 7BA,57.205965,-2.190667
307,AB21 7BB,57.206242,-2.185638
308,AB21 7BD,57.20584,-2.186088
309,AB21 7BE,57.206821,-2.188852
310,AB21 7BG,57.20681,-2.190342
311,AB21 7BH,57.206562,-2.187941
312,AB21 7BJ,57.206784,-2.189779
313,AB21 7BL,57.207435,-2.187217
314,AB21 7BN,57.206781,-2.186137
315,AB21 7BP,57.207491,-2.185777
316,AB21 7BQ,57.207848,-2.187004
317,AB21 7BR,57.208666,-2.187024
318,AB21 7BS,57.208176,-2.183959
319,AB21 7BT,57.207916,-2.184024
320,AB21 7BU,57.207646,-2.184023
321,AB21 7BW,57.211715,-2.190433
322,AB21 7BX,57.207288,-2.182813
323,AB21 7BY,57.206855,-2.184333
324,AB21 7DA,57.209628,-2.186003
325,AB21 7DB,57.210609,-2.184634
326,AB21 7DD,57.211597,-2.185102
327,AB21 7DE,57.211309,-2.185465
328,AB21 7DG,57.209424,-2.180511
329,AB21 7DH,57.21076,-2.186422
330,AB21 7DJ,57.210086,-2.186568
331,AB21 7DL,57.208582,-2.18906
332,AB21 7DN,57.208152,-2.18828
333,AB21 7DQ,57.206315,-2.190902
334,AB21 7DR,57.204408,-2.192696
335,AB21 7DS,57.204011,-2.194019
336,AB21 7DT,57.202693,-2.192158
337,AB21 7DU,57.200478,-2.203637
338,AB21 7DW,57.2009,-2.190047
339,AB21 7DX,57.20268,-2.18898
340,AB21 7DY,57.202403,-2.188283
341,AB21 7DZ,57.196403,-2.17732
342,AB21 7EA,57.197985,-2.176434
343,AB21 7EB,57.202377,-2.187373
344,AB21 7ED,57.202778,-2.189742
345,AB21 7EE,57.203588,-2.188505
346,AB21 7EG,57.205133,-2.194422
347,AB21 7EH,57.204002,-2.187961
348,AB21 7EJ,57.203944,-2.190493
349,AB21 7EL,57.204406,-2.187963
350,AB21 7EN,57.203707,-2.186949
351,AB21 7EP,57.205359,-2.18757
352,AB21 7EQ,57.212307,-2.190784
353,AB21 7ER,57.211105,-2.189851
354,AB21 7ES,57.209812,-2.189199
355,AB21 7ET,57.210378,-2.189351
357,AB21 7EW,57.205199,-2.186196
358,AB21 7EX,57.212319,-2.188864
359,AB21 7EY,57.213773,-2.189798
360,AB21 7EZ,57.197995,-2.186391
361,AB21 7FA,57.204339,-2.185115
362,AB21 7FB,57.205065,-2.18588
363,AB21 7FD,57.205149,-2.183547
364,AB21 7FE,57.203754,-2.185328
365,AB21 7FF,57.203127,-2.184613
366,AB21 7FG,57.202642,-2.184197
367,AB21 7FH,57.203669,-2.182414
368,AB21 7FJ,57.203465,-2.18089
369,AB21 7FL,57.200294,-2.186684
370,AB21 7FN,57.201139,-2.186357
371,AB21 7FP,57.201022,-2.180432
372,AB21 7FQ,57.201421,-2.184157
373,AB21 7FR,57.2019,-2.182174
374,AB21 7FS,57.202101,-2.179295
375,AB21 7FT,57.202938,-2.178504
376,AB21 7FU,57.203003,-2.176734
377,AB21 7FW,57.202178,-2.175786
378,AB21 7FX,57.202311,-2.183583
379,AB21 7FY,57.201298,-2.181856
380,AB21 7FZ,57.202601,-2.175325
381,AB21 7GA,57.196935,-2.18617
382,AB21 7GB,57.194864,-2.185818
383,AB21 7GD,57.19756,-2.188573
384,AB21 7GF,57.192815,-2.184247
385,AB21 7GH,57.213452,-2.187892
386,AB21 7GJ,57.212508,-2.188335
387,AB21 7GL,57.20591,-2.191248
388,AB21 7GN,57.197643,-2.18373
389,AB21 7GQ,57.198723,-2.191806
390,AB21 7HF,57.211043,-2.183196
391,AB21 7HG,57.198232,-2.180043
392,AB21 7JJ,57.208663,-2.178322
393,AB21 7JL,57.208981,-2.179957
394,AB21 7JN,57.207419,-2.179403
395,AB21 7JP,57.207659,-2.181341
396,AB21 7JQ,57.207416,-2.181605
397,AB21 7JR,57.207146,-2.181703
398,AB21 7JS,57.206904,-2.181818
399,AB21 7JT,57.206634,-2.181899
400,AB21 7JU,57.207759,-2.180349
401,AB21 7JW,57.208234,-2.180914
402,AB21 7JX,57.208199,-2.180367
403,AB21 7JY,57.207996,-2.178314
404,AB21 7JZ,57.208596,-2.179028
405,AB21 7LA,57.210984,-2.18058
406,AB21 7LB,57.210151,-2.178457
407,AB21 9PE,57.178185,-2.169222
408,BB1 3HJ,53.753322,-2.450445
409,BB1 3HL,53.750016,-2.456991
410,BB1 3HN,53.751702,-2.45337
411,BB1 3HP,53.756595,-2.45004
412,BB1 3HQ,53.749799,-2.459916
413,BB1 3HR,53.753952,-2.445417
414,BB1 3HT,53.758933,-2.446591
415,BB1 3HU,53.754981,-2.450553
416,BB1 3HW,53.752422,-2.448418
417,BB1 3HY,53.751487,-2.445177
418,BB1 3JA,53.752298,-2.444655
419,BB1 3JB,53.751611,-2.445785
420,BB1 3JD,53.749095,-2.443835
421,BB1 3JL,53.749617,-2.455592
422,BB1 3JP,53.748617,-2.453259
423,BB1 3JR,53.748789,-2.451215
424,BB1 3JS,53.748981,-2.452825
425,BB1 3JT,53.75005,-2.452973
426,BB1 3JU,53.750243,-2.451139
427,BB1 3JW,53.7491,-2.454585
428,BB1 3JX,53.750946,-2.45136
429,BB1 3JY,53.749126,-2.450021
430,BB1 3JZ,53.7498,-2.447541
431,BB1 3LA,53.748217,-2.447919
432,BB1 3LB,53.749099,-2.447549
433,BB1 3LD,53.751251,-2.446677
434,BB1 3LE,53.752088,-2.448612
435,BB1 3LF,53.75156,-2.448182
436,BB1 3LG,53.751468,-2.450941
437,BB1 3LH,53.749409,-2.448887
438,BB1 3LJ,53.748102,-2.449768
439,BB1 3LL,53.749163,-2.452114
440,BB1 3LN,53.749891,-2.452258
441,BB1 3LP,53.746318,-2.438967
442,BB1 3LQ,53.75063,-2.449264
443,BB1 3LR,53.746914,-2.438049
444,BB1 3LS,53.750503,-2.429168
445,BB1 3LU,53.749042,-2.433885
446,BB1 3LW,53.745978,-2.438539
447,BB1 3LX,53.747822,-2.435617
448,BB1 3LY,53.748856,-2.433186
449,BB1 3LZ,53.748596,-2.432925
450,BB1 3NA,53.74786,-2.435026
451,BB1 3NB,53.747921,-2.433252
452,BB1 3ND,53.747579,-2.433249
453,BB1 3NG,53.747004,-2.433061
454,BB1 3NH,53.747556,-2.437161
455,BB1 3NJ,53.748536,-2.436913
456,BB1 3NN,53.748302,-2.442006
457,BB1 3NP,53.749946,-2.442311
458,BB1 3NQ,53.748092,-2.4375
459,BB1 3NR,53.749751,-2.443263
460,BB1 3NS,53.749019,-2.442574
461,BB1 3NT,53.759573,-2.449162
462,BB1 3NU,53.762649,-2.450149
463,BB1 3NW,53.749339,-2.441031
464,BB1 3NY,53.747925,-2.441076
467,BB1 4AA,53.770563,-2.46096
468,BB1 4AB,53.774784,-2.448308
469,BB1 4AD,53.781209,-2.446464
470,BB1 4AE,53.787631,-2.452391
471,BB1 4AF,53.785834,-2.465438
472,BB1 4AG,53.782237,-2.464444
473,BB1 4AH,53.778411,-2.427405
474,BB1 4AJ,53.776923,-2.417617
475,BB1 4AL,53.772393,-2.425386
476,BB1 4AN,53.775767,-2.408851
477,BB1 4AP,53.772248,-2.438281
478,BB1 4AQ,53.776359,-2.462133
479,BB1 4AR,53.760988,-2.426121
480,BB1 4AS,53.755852,-2.426387
481,BB1 4AT,53.76635,-2.443529
482,BB1 4AU,53.758495,-2.441187
483,BB1 4AW,53.763021,-2.423168
485,BB1 4BH,53.764579,-2.427128
486,BB1 4BJ,53.765532,-2.427108
487,BB1 4BL,53.765475,-2.425393
488,BB1 4BN,53.765669,-2.426608
489,BB1 4BP,53.766353,-2.426373
490,BB1 4BQ,53.765161,-2.427876
491,BB1 4BS,53.766521,-2.422096
492,BB1 4BW,53.76596,-2.42564
493,BB1 4BX,53.766956,-2.423602
494,BB1 4BY,53.766648,-2.424297
495,BB1 4BZ,53.767333,-2.420709
496,BB1 4DA,53.768006,-2.421383
497,BB1 4DB,53.76766,-2.422745
498,BB1 4DD,53.76797,-2.418879
499,BB1 4DG,53.768177,-2.418881
500,BB1 4DH,53.769273,-2.418862
501,BB1 4DJ,53.769652,-2.418577
502,BB1 4DL,53.769002,-2.416735
503,BB1 4DR,53.769182,-2.419255
504,BB1 4DS,53.769325,-2.419484
505,BB1 4DT,53.769968,-2.420614
506,BB1 4DU,53.769881,-2.417229
507,BB1 4DW,53.769209,-2.416798
508,BB1 4DX,53.770437,-2.41769
509,BB1 4DY,53.770659,-2.418405
510,BB1 4DZ,53.770922,-2.420365
511,BB1 4EA,53.770773,-2.42094
512,BB1 4EB,53.771348,-2.422008
513,BB1 4ED,53.77089,-2.418422
514,BB1 4EE,53.770845,-2.416708
515,BB1 4EF,53.769175,-2.416069
516,BB1 4EG,53.768098,-2.423508
517,BB1 4EH,53.766255,-2.42848
518,BB1 4EJ,53.766972,-2.426546
519,BB1 4EL,53.768698,-2.421557
520,BB1 4EN,53.767588,-2.425384
521,BB1 4EP,53.768289,-2.420233
522,BB1 4ER,53.762126,-2.432094
523,BB1 4ES,53.764691,-2.421061
524,BB1 4ET,53.763724,-2.432596
525,BB1 4EU,53.764857,-2.425007
526,BB1 4EX,53.76373,-2.425952
527,BB1 4EY,53.764271,-2.42529
528,BB1 4EZ,53.764717,-2.423625
530,BB1 4HA,53.764767,-2.422443
531,BB1 4HB,53.766375,-2.420001
532,BB1 4HD,53.766789,-2.419929
533,BB1 4HF,53.765981,-2.41962
534,BB1 4HG,53.762878,-2.415067
535,BB1 4HH,53.764307,-2.417872
536,BB1 4HJ,53.76422,-2.416855
537,BB1 4HL,53.765017,-2.417667
538,BB1 4HN,53.764233,-2.415808
539,BB1 4HP,53.765067,-2.418941
540,BB1 4HQ,53.764833,-2.418969
541,BB1 4HR,53.765925,-2.417782
542,BB1 4HS,53.76644,-2.416801
543,BB1 4HT,53.766679,-2.417865
544,BB1 4HU,53.766877,-2.418034
545,BB1 4HW,53.765553,-2.416246
546,BB1 4HX,53.767541,-2.417206
547,BB1 4HY,53.76759,-2.417055
548,BB1 4HZ,53.767215,-2.416414
549,BB1 4JA,53.766784,-2.416091
550,BB1 4JB,53.767333,-2.415186
551,BB1 4JD,53.766069,-2.41402
552,BB1 4JE,53.766917,-2.414272
553,BB1 4JF,53.766938,-2.413362
554,BB1 4JG,53.767374,-2.414625
555,BB1 4JH,53.767808,-2.413492
556,BB1 4JJ,53.767282,-2.412592
557,BB1 4JN,53.767947,-2.412553
558,BB1 4JQ,53.767823,-2.414751
559,BB1 4JR,53.767594,-2.413368
560,BB1 4JS,53.766281,-2.41105
561,BB1 4JT,53.763687,-2.415029
562,BB1 4JU,53.763626,-2.414558
563,BB1 4JW,53.767231,-2.411848
564,BB1 4JX,53.764384,-2.413701
565,BB1 4JY,53.764836,-2.412795
566,BB1 4JZ,53.768236,-2.413905
567,BB1 4LA,53.768459,-2.414211
568,BB1 4LB,53.772889,-2.415636
569,BB1 4LD,53.767921,-2.417392
570,BB1 4LJ,53.768719,-2.415564
571,BB1 4LL,53.769794,-2.414058
572,BB1 4LN,53.769352,-2.414357
573,BB1 4LP,53.771337,-2.41471
574,BB1 4LQ,53.768198,-2.417941
575,BB1 4LR,53.771196,-2.413812
576,BB1 4LS,53.771147,-2.415118
577,BB1 4LT,53.771309,-2.41518
578,BB1 4LU,53.771342,-2.415787
579,BB1 4LW,53.769828,-2.414483
580,BB1 4LX,53.771775,-2.415291
581,BB1 4LY,53.772142,-2.415962
582,BB1 4NA,53.770652,-2.415341
583,BB1 4NB,53.769539,-2.414829
584,BB1 4ND,53.769291,-2.408363
585,BB1 4NF,53.7704,-2.402154
586,BB1 4NG,53.769165,-2.406056
587,BB1 4NL,53.768839,-2.409254
588,BB1 4NN,53.768955,-2.408739
589,BB1 4NP,53.768344,-2.409522
590,BB1 4NQ,53.770718,-2.411791
591,BB1 4NR,53.768111,-2.409429
592,BB1 4NS,53.768092,-2.411294
593,BB1 4NT,53.77026,-2.41086
594,BB1 4NW,53.768083,-2.409778
595,BB1 4NX,53.770476,-2.411698
596,BB1 4NY,53.770995,-2.411383
597,BB1 4NZ,53.769901,-2.409037
598,BB1 4PA,53.771327,-2.407154
599,BB1 4PB,53.769438,-2.407728
600,BB1 4PD,53.769424,-2.409047
601,BB1 4PE,53.769378,-2.409381
602,BB1 4PF,53.768558,-2.407355
603,BB1 4PG,53.769942,-2.407535
604,BB1 4PH,53.764004,-2.419553
606,BB1 4RA,53.764598,-2.411473
607,BB1 4RB,53.764071,-2.413334
608,BB1 4RD,53.76576,-2.410832
609,BB1 4RE,53.764999,-2.415163
610,AB23 8AA,57.185044,-2.096248
611,AB23 8AB,57.249546,-2.060289
612,AB23 8AD,57.251702,-2.060425
613,AB23 8AE,57.190772,-2.10025
614,AB23 8AG,57.193055,-2.098436
615,AB23 8AH,57.1908,-2.098861
617,AB23 8AP,57.199406,-2.099115
619,AB23 8AR,57.217948,-2.070537
620,AB23 8AT,57.179717,-2.084093
621,AB23 8AU,57.191404,-2.096298
622,AB23 8AW,57.192321,-2.096068
623,AB23 8AX,57.194946,-2.083307
624,AB23 8AZ,57.196191,-2.085636
625,AB23 8BA,57.190376,-2.08961
626,AB23 8BB,57.192549,-2.090427
627,AB23 8BD,57.201021,-2.089372
628,AB23 8BE,57.217223,-2.070707
629,AB23 8BJ,57.205476,-2.102111
630,AB23 8BL,57.18614,-2.088085
631,AB23 8BN,57.204612,-2.092376
632,AB23 8BP,57.205622,-2.086519
633,AB23 8BQ,57.21149,-2.072865
634,AB23 8BR,57.214033,-2.082251
635,AB23 8BS,57.216925,-2.08292
636,AB23 8BT,57.219277,-2.072261
637,AB23 8BU,57.186477,-2.090825
638,AB23 8BW,57.188786,-2.090268
639,AB23 8BX,57.178132,-2.089961
640,AB23 8BY,57.182829,-2.092074
641,AB23 8BZ,57.192931,-2.096864
642,AB23 8DA,57.181046,-2.084791
643,AB23 8DB,57.180119,-2.088147
644,AB23 8DD,57.178124,-2.087927
645,AB23 8DF,57.182149,-2.09978
646,AB23 8DJ,57.178143,-2.087232
647,AB23 8DL,57.1773,-2.088874
648,AB23 8DN,57.176902,-2.088685
649,AB23 8DP,57.177317,-2.086734
650,AB23 8DQ,57.177146,-2.087263
651,AB23 8DR,57.176456,-2.08488
652,AB23 8DS,57.176752,-2.085277
653,AB23 8DT,57.176373,-2.087509
654,AB23 8DU,57.180461,-2.086361
655,AB23 8DX,57.176534,-2.089031
656,AB23 8EA,57.176877,-2.089717
657,AB23 8EB,57.176964,-2.090603
658,AB23 8ED,57.178033,-2.090606
659,AB23 8EE,57.18649,-2.096285
660,AB23 8EF,57.189361,-2.093552
661,AB23 8EG,57.187025,-2.093182
662,AB23 8EH,57.190525,-2.105445
663,AB23 8EJ,57.178229,-2.092062
664,AB23 8EL,57.177806,-2.094162
665,AB23 8EN,57.177877,-2.094889
666,AB23 8EP,57.179144,-2.093867
667,AB23 8EQ,57.179279,-2.093239
668,AB23 8ER,57.178553,-2.09203
669,AB23 8ES,57.179163,-2.09223
670,AB23 8ET,57.179218,-2.090923
671,AB23 8EU,57.188833,-2.102403
672,AB23 8EW,57.18741,-2.095781
673,AB23 8EX,57.183062,-2.092223
674,AB23 8EY,57.188546,-2.098507
675,AB23 8EZ,57.186026,-2.092396
676,AB23 8FB,57.18311,-2.08817
677,AB23 8FD,57.183028,-2.090304
678,AB23 8FE,57.184705,-2.096766
679,AB23 8FF,57.191708,-2.097705
680,AB23 8FG,57.182013,-2.088829
681,AB23 8FP,57.17798,-2.08925
